"title","link","processed_title","title_wordcnt","remove"
"READY TO GO NUCLEAR? Gorsuch wins Senate Judiciary panel approval, sets up Senate floor showdown","http://www.foxnews.com/politics/2017/04/03/gorsuch-wins-senate-panel-endorsement-setting-up-floor-showdown.html","ready  go nuclear gorsuch wins senate judiciary panel approval sets  senate floor showdown",15,FALSE
"Dems have enough votes to filibuster Gorsuch, increasing odds of 'nuclear option'","http://www.foxnews.com/politics/2017/04/03/dems-have-enough-votes-to-filibuster-gorsuch-increasing-odds-nuclear-option.html","dems  enough votes  filibuster gorsuch increasing odds  nuclear option",12,FALSE
"The Gorsuch Tally: Where senators stand on court nominee","http://www.foxnews.com/politics/2017/04/03/gorsuch-tally-where-senators-stand-on-court-nominee.html"," gorsuch tally  senators stand  court nominee",9,FALSE
"FOX NEWS HALFTIME REPORT: Schumer faces failure in first test as leader","http://www.foxnews.com/politics/2017/04/03/schumer-faces-failure-in-first-test-as-leader.html","fox news halftime report schumer faces failure  first test  leader",12,FALSE
"What is the nuclear option? How Gorsuch confirmation could play out","http://www.foxnews.com/politics/2017/04/03/what-is-nuclear-option-roadmap-to-how-gorsuch-confirmation-could-play-out.html","   nuclear option  gorsuch confirmation  play ",11,FALSE
"SEN. CHUCK GRASSLEY: The truth about Schumer, Dems and Gorsuch","http://www.foxnews.com/opinion/2017/04/03/sen-chuck-grassley-truth-about-schumer-democrats-and-gorsuch.html","sen chuck grassley  truth  schumer dems  gorsuch",10,FALSE
"Trump, Egypt's leader meet at White House, expected to discuss defeating terrorism","http://www.foxnews.com/politics/2017/04/03/trump-egypts-leader-meet-at-white-house-expected-to-discuss-defeating-terrorism.html","trump egypts leader meet  white house expected  discuss defeating terrorism",12,FALSE
"Trump donates first quarter paycheck to National Park Service","http://insider.foxnews.com/2017/04/03/donald-trump-donates-salary-national-park-service-first-quarter-2017","trump donates first quarter paycheck  national park service",9,FALSE
"VIDEO: Sources tell Fox — Rice requested to unmask Trump associates","http://video.foxnews.com/v/5383601455001/","video sources tell fox — rice requested  unmask trump associates",11,FALSE
"Grassley pressing FBI's McCabe in Trump-Russia dossier case","http://www.foxnews.com/politics/2017/04/03/grassley-pressing-fbis-mccabe-in-trump-russia-dossier-case.html","grassley pressing fbis mccabe  trumprussia dossier case",8,FALSE
"Trump tweet storm questions Clinton, Podesta, praises surveillance reporting","http://www.foxnews.com/politics/2017/04/03/trump-tweet-storm-questions-clinton-podesta-praises-surveillance-reporting.html","trump tweet storm questions clinton podesta praises surveillance reporting",9,FALSE
"RNC Chair Ronna McDaniel: Dems must denounce Perez's anti-Trump rhetoric","http://www.foxnews.com/politics/2017/04/03/rnc-chair-ronna-mcdaniel-dems-must-denounce-perezs-anti-trump-rhetoric.html","rnc chair ronna mcdaniel dems must denounce perezs antitrump rhetoric",10,FALSE
"VIDEO: Sources — Trump, associates surveilled for up to year","http://video.foxnews.com/v/5383235023001/","video sources — trump associates surveilled    year",10,FALSE
"Muslim school nixes teacher who told students Adam and Eve are 'not real'","http://www.foxnews.com/us/2017/04/02/muslim-school-nixes-teacher-who-told-students-adam-and-eve-are-not-real.html","muslim school nixes teacher  told students adam  eve   real",13,FALSE
"VIDEO: Taxpayers give how much to Ivy League schools?","http://video.foxnews.com/v/5382321011001/","video taxpayers give  much  ivy league schools",9,FALSE
"Video shows armless basketball player, 13, winning game with last second shot","http://www.foxnews.com/us/2017/04/01/video-shows-armless-basketball-player-13-winning-game-with-last-second-shot.html","video shows armless basketball player 13 winning game  last second shot",12,FALSE
"VIDEO: Arkansas Gov OKs guns in bars, churches, on college campuses ","http://video.foxnews.com/v/5374085895001/","video arkansas gov oks guns  bars churches  college campuses ",11,FALSE
"Pennsylvania is last state to approve semiautomatic rifles for some types of hunting","http://www.foxnews.com/us/2017/03/29/pennsylvania-is-last-state-to-approve-semiautomatic-rifles-for-some-types-hunting.html","pennsylvania  last state  approve semiautomatic rifles   types  hunting",13,FALSE
"Accidental gun deaths hit record low, even amid recent boom in firearms sales","http://www.foxnews.com/politics/2017/03/30/accidental-gun-deaths-hit-record-low-even-amid-recent-boom-in-firearms-sales.html","accidental gun deaths hit record low even amid recent boom  firearms sales",13,FALSE
"Schiff: Still no 'definitive' link between Russia, Trump campaign","http://www.foxnews.com/politics/2017/04/02/schiff-still-no-definitive-link-between-russia-trump-campaign.html?intcmp=latestnews","schiff still  definitive link  russia trump campaign",9,FALSE
"Juan Williams: Trump's impeachment risk keeps growing","http://www.foxnews.com/opinion/2017/04/03/juan-williams-trumps-impeachment-risk-keeps-growing.html?intcmp=latestnews","juan williams trumps impeachment risk keeps growing",7,FALSE
"Shark bites 17-year-old Kentucky girl visiting Florida","http://www.foxnews.com/us/2017/04/03/shark-bites-17-year-old-kentucky-girl-visiting-florida.html?intcmp=latestnews","shark bites 17yearold kentucky girl visiting florida",7,FALSE
"2018 Winter Olympics: NHL won't participate in Pyeongchang Games","http://www.foxnews.com/sports/2017/04/03/2018-winter-olympics-nhl-wont-participate-in-pyeongchang-games.html?intcmp=latestnews","2018 winter olympics nhl wont participate  pyeongchang games",9,FALSE
"Michelle Obama Is Rocking Her Natural Hair And The Internet Can't Even","http://www.huffingtonpost.com/entry/michelle-obama-natural-natural_us_58e27289e4b0b3918c854ff8?i8t0na7kczbf39pb9&ncid=inblnkushpmg00000009","michelle obama  rocking  natural hair   internet cant even",12,FALSE
"Anne Hathaway Says She's Asked Continually About Why The Internet Hates Her","http://www.huffingtonpost.com/entry/anne-hathaway-says-shes-asked-about-why-the-internet-hates-her_us_58e2b00be4b03a26a365332b?n5d15lu5ky0xdpldi&ncid=inblnkushpmg00000009","anne hathaway says shes asked continually    internet hates ",12,FALSE
"Hundreds Of LGBTQ People Held A Dance Party Protest Outside Ivanka's Home","http://www.huffingtonpost.com/entry/dance-party-protest-ivankas-hoyse_us_58e29af3e4b0d0b7e163a0d4?v57wp3a8m240rx80k9&ncid=inblnkushpmg00000009","hundreds  lgbtq people held  dance party protest outside ivankas home",12,FALSE
"Businesses Offer 20-Percent Discounts For Equal Pay Day","http://www.huffingtonpost.com/entry/equal-pay-day-discounts_us_58e2cd20e4b03a26a3655978?pj&ncid=inblnkushpmg00000009","businesses offer 20percent discounts  equal pay day",8,FALSE
"Road to rebuilding coal country starts with … literally, roads","http://www.foxnews.com/politics/2017/04/03/road-to-rebuilding-coal-country-starts-with-literally-roads.html?intcmp=latestnews","road  rebuilding coal country starts  � literally roads",10,FALSE
"Navajo Nation wants Trump to subsidize coal sales to struggling power plant","http://fxn.ws/2n4v1Hs","navajo nation wants trump  subsidize coal sales  struggling power plant",12,FALSE
"Kidnapped California girl jumps from moving car after sexual assault, police say","http://www.foxnews.com/us/2017/04/03/kidnapped-california-girl-jumps-from-moving-car-after-sexual-assault-police-say.html?intcmp=latestnews","kidnapped california girl jumps  moving car  sexual assault police say",12,FALSE
"Patrick Ewing hired as Georgetown men's basketball coach","http://www.foxnews.com/sports/2017/04/03/patrick-ewing-hired-as-georgetown-mens-basketball-coach.html?intcmp=latestnews","patrick ewing hired  georgetown mens basketball coach",8,FALSE
"Mom of 3 dies after finishing Pennsylvania half-marathon","http://www.foxnews.com/health/2017/04/03/mom-3-dies-after-finishing-pennsylvania-half-marathon.html?intcmp=latestnews","mom  3 dies  finishing pennsylvania halfmarathon",8,FALSE
"Untreated strep infection leaves Michigan mom of 7 battling for life","http://fxn.ws/2oBOywa","untreated strep infection leaves michigan mom  7 battling  life",11,FALSE
"Family to donate organs of sorority sister who died after pancake-eating contest","http://fxn.ws/2nCfASW","family  donate organs  sorority sister  died  pancakeeating contest",12,FALSE
"Soros-tied networks, foundations joined forces to create Trump 'resistance' fund","http://www.foxnews.com/politics/2017/04/03/soros-tied-networks-foundations-joined-forces-to-create-trump-resistance-fund.html?intcmp=latestnews","sorostied networks foundations joined forces  create trump resistance fund",10,FALSE
