"tweet","created","favorited","retweeted","dayCreated"
"Honored to host Israeli Defense Minister Lieberman in the West Wing today.  Our commitment to Israel's security is… https://t.co/ZHlKzDnnVT",2017-03-07 19:08:00,5709,1168,"Tues"
"What an honor to run into this group of future leaders at the White House today. https://t.co/cki6fEDFLb",2017-03-07 18:25:23,8327,1576,"Tues"
"Working my way from Senate Policy Lunch to meet with House members to discuss the end of ObamaCare. Couldn't pass u… https://t.co/BTSv94Ns3G",2017-03-07 15:13:08,6034,1075,"Tues"
"As the legislative process goes forward, @POTUS &amp; I believe the American Health Care Act is the framework for refor… https://t.co/h9ypao5zMX",2017-03-07 15:09:25,4326,797,"Tues"
"My message to GOP Senate: If you like ObamaCare, you can keep it, but people want change &amp; fact is ObamaCare must g… https://t.co/yWheiD8Pm6",2017-03-07 15:05:07,5896,1548,"Tues"
"Thank you. From @NYDailyNews - @AP Apologizes for Publishing Second Lady's email https://t.co/pa0IEjqdYT",2017-03-07 11:07:50,6742,1566,"Tues"
"Join me LIVE on #KilmeadeAndFriends soon with Brian @Kilmeade as we discuss the @HouseGOP plan to repeal and replace Obamacare.",2017-03-07 10:23:57,2946,406,"Tues"
"TUNE IN to The Mike Gallagher Show now as I join @radiotalkermike on air to discuss replacing Obamacare. https://t.co/Mt5Jfqujve",2017-03-07 10:10:15,2234,390,"Tues"
".@POTUS promised to bring back jobs to America. Today's news is further evidence of the country's spirit of optimis… https://t.co/PIyRmzxSsj",2017-03-06 17:22:35,15256,3247,"Mon"
"If we do that, I believe with all my heart that these divided times will give way to unity—and America will be great again.",2017-03-05 00:13:50,13994,2432,"Sun"
"As we learned from Carryn Owens this week, we should take every opportunity to stand together and look up a little more.",2017-03-05 00:13:20,17333,3454,"Sun"
"Privileged to address the Gridiron Dinner. While we have our differences, &amp; you'll know when we have them, we must focus on what unites us.",2017-03-05 00:12:56,9927,1513,"Sun"
"When we requested they take it down, they refused. The @AP owes my wife an apology. https://t.co/LdMmnewnWF",2017-03-04 16:53:29,35318,16566,"Sat"
"Last night the @AP published my wife's private email address, violating her privacy and our security...",2017-03-04 16:52:54,24298,13427,"Sat"
"Stopped in for a bite at O'Riley &amp; Conway's Irish Pub in Janesville with @SpeakerRyan and visited with Wisconsin re… https://t.co/XtXR0o3CKw",2017-03-03 16:03:35,6933,989,"Fri"
"The @POTUS has an unwavering belief in the American people—hardworking men and women like those here at Blain's… https://t.co/iiBjlaY9zC",2017-03-03 15:30:36,7266,1385,"Fri"
"Obamacare is weighing down our job creators &amp; hurting small business owners like those gathered here at our listeni… https://t.co/XampjE3wyV",2017-03-03 15:20:20,6394,1362,"Fri"
"We have a lot of work to do. But as @POTUS likes to say, with faith in the American people and in God, we will #MakeAmericaGreatAgain.",2017-03-03 13:59:16,5488,1304,"Fri"
"This administration will get our economy moving by passing the biggest tax reform since Ronald Reagan and cutting taxes across the board.",2017-03-03 13:54:28,5481,1162,"Fri"
"We will replace Obamacare with a better law that lowers the cost of health insurance without growing the size of government.",2017-03-03 13:51:00,3298,894,"Fri"
"Under @POTUS, we will repeal Obamacare once and for all—eliminating its mandates, taxes, and intrusion into businesses and lives.",2017-03-03 13:50:00,2296,733,"Fri"
"Obamacare is a job killer. Endless price hikes and red tape eat up time and money better spent growing businesses and benefitting workers.",2017-03-03 13:49:22,2138,746,"Fri"
"Our administration has the biggest and boldest agenda this country has ever seen—and we’re going to pass it from top to bottom.",2017-03-03 13:47:21,2466,894,"Fri"
"Businesses are reacting to @POTUS Trump’s “Buy American, Hire American” vision with optimism and investment in our country.",2017-03-03 13:46:05,2077,703,"Fri"
"On day one, @POTUS went to work undoing the job-destroying policies and executive orders of the last eight years.",2017-03-03 13:45:10,1908,639,"Fri"
"Tune in as I take the stage with @SpeakerRyan, @SecPriceMD and @SenRonJohnson at Blain's @FarmandFleet in Wisconsin. https://t.co/lWK2ggUi3i",2017-03-03 13:25:59,4154,636,"Fri"
"Joined by @SenRonJohnson &amp; @SecPriceMD on the way to Wisconsin to meet with small biz owners &amp; discuss challenges t… https://t.co/480loIu5L0",2017-03-03 11:30:51,4553,752,"Fri"
"Congratulations to our new @Energy Secretary, Rick Perry. @POTUS and I have absolute confidence in your leadership,… https://t.co/CImZKXMSFv",2017-03-02 18:57:32,7884,1611,"Thurs"
".@POTUS &amp; I have full faith that @HUDgov Secretary Dr. Ben Carson will open doors of opportunity and meet the needs… https://t.co/3UylospxBa",2017-03-02 18:45:57,8428,1776,"Thurs"
"Thank you OH! America’s small businesses, &amp; the good people who work for them, are the backbone of our economy. Loo… https://t.co/JWotlVa5fY",2017-03-02 15:34:55,6330,1006,"Thurs"
"It’s hardworking men and women like these who make America the envy of the world. @POTUS &amp; I are grateful for all t… https://t.co/3wpcoxyaio",2017-03-02 14:34:03,5358,1030,"Thurs"
"Americans elected a @POTUS who never quits or backs down. With @realDonaldTrump in the White House, America's going to start winning again.",2017-03-02 13:28:26,4881,1074,"Thurs"
".@POTUS Trump is rolling back the senseless regulations that are strangling our businesses and stifling our country’s potential.",2017-03-02 13:27:49,4266,775,"Thurs"
"Under @POTUS, we’re going to repeal Obamacare once and for all—eliminating its mandates, taxes, and intrusion into businesses and lives.",2017-03-02 13:20:41,2280,736,"Thurs"
"Businesses in Ohio and all over America are feeling the same squeeze. Obamacare is weighing down our job creators—and our country’s future.",2017-03-02 13:20:12,1826,482,"Thurs"
"Americans know Obamacare has failed—and Obamacare must go.",2017-03-02 13:18:32,1908,572,"Thurs"
"On day one, @POTUS went to work undoing the job-killing policies and executive orders from the last 8 years to get our economy moving again.",2017-03-02 13:16:42,1716,537,"Thurs"
".@POTUS and I know a fundamental truth of our economy: When small business is strong, America is strong.",2017-03-02 13:16:15,1466,446,"Thurs"
"As the world knows, @POTUS grew up in a family business, too. We both know the sacrifices that are required—the long hours, the hard work.",2017-03-02 13:15:50,1450,437,"Thurs"
"I grew up in a small business family in Columbus, Indiana. I went to work at my father’s gas station when I was only 14.",2017-03-02 13:15:29,1356,365,"Thurs"
"Make no mistake about it: America finally has a @POTUS who will support small businesses every single day.",2017-03-02 13:14:27,1721,564,"Thurs"
