"tweet","created","favorited","retweeted","dayCreated","nytFlag","cnnFlag","foxFlag"
"I feel sure that my friend @RandPaul will come along with the new and great health care program because he knows Obamacare is a disaster!",2017-03-07 19:14:30,41826,8282,"Tues",0,0,0
"Don't let the FAKE NEWS tell you that there is big infighting in the Trump Admin. We are getting along great, and getting major things done!",2017-03-07 09:14:03,95339,21153,"Tues",0,0,0
"I am working on a new system where there will be competition in the Drug Industry. Pricing for the American people will come way down!",2017-03-07 08:46:28,97457,19518,"Tues",0,0,0
"Don't worry, getting rid of state lines, which will promote competition, will be in phase 2 &amp; 3 of healthcare rollout. @foxandfriends",2017-03-07 08:41:58,66059,13940,"Tues",0,0,0
"For eight years Russia ""ran over"" President Obama, got stronger and stronger, picked-off Crimea and added missiles. Weak! @foxandfriends",2017-03-07 08:13:20,63735,14681,"Tues",0,0,0
"Our wonderful new Healthcare Bill is now out for review and negotiation. ObamaCare is a complete and total disaster - is imploding fast!",2017-03-07 07:13:59,68145,13342,"Tues",0,0,0
"122 vicious prisoners, released by the Obama Administration from Gitmo, have returned to the battlefield. Just another terrible decision!",2017-03-07 07:04:13,76760,19661,"Tues",0,0,0
"Thank you to @exxonmobil for your $20 billion investment that is creating more than 45,000 manufacturing &amp; construction jobs in the USA!",2017-03-06 22:50:49,87951,17715,"Mon",0,0,0
"Buy American &amp; hire American are the principles at the core of my agenda, which is: JOBS, JOBS, JOBS! Thank you @exxonmobil.",2017-03-06 22:49:54,76469,14636,"Mon",0,0,0
"There is an incredible spirit of optimism sweeping the country right now—we're bringing back the JOBS! https://t.co/BNSLvKiEVj",2017-03-06 18:49:53,97433,22899,"Mon",0,0,0
"45,000 construction &amp; manufacturing jobs in the U.S. Gulf Coast region. $20 billion investment. We are already winning again, America!",2017-03-06 16:22:15,108461,23436,"Mon",0,0,0
"'President Trump Congratulates Exxon Mobil for Job-Creating Investment Program'
https://t.co/adBzWhtq8S",2017-03-06 16:19:04,65311,12186,"Mon",0,0,0
"Thank you for the great rallies all across the country. Tremendous support. Make America Great Again!",2017-03-05 12:30:11,169478,30444,"Sun",0,0,0
"Who was it that secretly said to Russian President, ""Tell Vladimir that after the election I'll have more flexibility?"" @foxandfriends",2017-03-05 06:40:20,123595,35777,"Sun",0,0,0
"Is it true the DNC would not allow the FBI access to check server or other equipment after learning it was hacked? Can that be possible?",2017-03-05 06:32:22,94207,24080,"Sun",0,0,0
"Arnold Schwarzenegger isn't voluntarily leaving the Apprentice, he was fired by his bad (pathetic) ratings, not by me. Sad end to great show",2017-03-04 08:19:29,105868,23127,"Sat",0,0,0
"How low has President Obama gone to tapp my phones during the very sacred election process. This is Nixon/Watergate. Bad (or sick) guy!",2017-03-04 07:02:48,161215,52618,"Sat",0,0,0
"I'd bet a good lawyer could make a great case out of the fact that President Obama was tapping my phones in October, just prior to Election!",2017-03-04 06:52:54,130569,37016,"Sat",0,0,0
"Is it legal for a sitting President to be ""wire tapping"" a race for president prior to an election? Turned down by court earlier. A NEW LOW!",2017-03-04 06:49:00,122704,36328,"Sat",0,0,0
"Just out: The same Russian Ambassador that met Jeff Sessions visited the Obama White House 22 times, and 4 times last year alone.",2017-03-04 06:42:59,120155,37328,"Sat",0,0,0
"Terrible! Just found out that Obama had my ""wires tapped"" in Trump Tower just before the victory. Nothing found. This is McCarthyism!",2017-03-04 06:35:20,142613,50394,"Sat",0,0,0
"The first meeting Jeff Sessions had with the Russian Amb was set up by the Obama Administration under education program for 100 Ambs......",2017-03-04 06:26:47,87420,24413,"Sat",0,0,0
"MAKE AMERICA GREAT AGAIN! https://t.co/kuQiZDz4rA",2017-03-03 17:13:10,120724,34620,"Fri",0,0,0
"I hereby demand a second investigation, after Schumer, of Pelosi for her close ties to Russia, and lying about it. https://t.co/qCDljfF3wN",2017-03-03 16:02:23,121460,39728,"Fri",0,0,0
"We must fix our education system for our kids to Make America Great Again. Wonderful day at Saint Andrew in Orlando. https://t.co/OTJaHcvLzf",2017-03-03 15:48:21,82297,16305,"Fri",0,0,0
"We should start an immediate investigation into @SenSchumer and his ties to Russia and Putin. A total hypocrite! https://t.co/Ik3yqjHzsA",2017-03-03 12:54:30,149892,54117,"Fri",0,0,0
"Weekly Address
Join me here: https://t.co/SEavQK5zy5 https://t.co/EnyXYeqgcp",2017-03-03 11:41:55,53524,10089,"Fri",0,0,0
"It is so pathetic that the Dems have still not approved my full Cabinet.",2017-03-03 07:19:12,137183,27959,"Fri",0,0,0
"Nick Adams new book, Green Card Warrior, is a must read. The merit-based system is the way to go. Canada, Australia! @foxandfriends",2017-03-03 07:00:39,66388,13786,"Fri",0,0,0
"...is all of the illegal leaks of classified and other information. It is a total ""witch hunt!""",2017-03-02 21:38:48,93552,18184,"Thurs",0,0,0
"...to win. The Democrats are overplaying their hand. They lost the election, and now they have lost their grip on reality. The real story...",2017-03-02 21:35:33,110156,23329,"Thurs",0,0,0
"...intentional. This whole narrative is a way of saving face for Democrats losing an election that everyone thought they were supposed.....",2017-03-02 21:27:29,90643,17586,"Thurs",0,0,0
"Jeff Sessions is an honest man. He did not say anything wrong. He could have stated his response more accurately, but it was clearly not....",2017-03-02 21:22:49,102736,19928,"Thurs",0,0,0
"Since November 8th, Election Day, the Stock Market has posted $3.2 trillion in GAINS and consumer confidence is at a 15 year high. Jobs!",2017-03-02 06:00:41,176308,37292,"Thurs",0,0,0
"THANK YOU!",2017-03-01 08:38:44,186078,27755,"Wed",0,0,0
"#JointSession #MAGA<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>
https://t.co/RDO6Jt2pip",2017-02-28 20:42:16,63929,10229,"Tues",0,0,0
"Join me live at 9:00 P.M. 
#JointAddress https://t.co/J882zbyVkJ https://t.co/gTtK3vJmkU",2017-02-28 20:30:49,55008,7395,"Tues",0,0,0
"I will be interviewed on @foxandfriends at 6:00 A.M. Enjoy!",2017-02-27 21:43:03,83571,11096,"Mon",0,0,0
"GOP now viewed more favorably than Dems, in Trump era (per NBC/WSJ poll) via @HotlineJosh:
https://t.co/Soebxtg2Zd",2017-02-27 16:48:21,71176,14757,"Mon",0,0,0
"Great meeting with CEOs of leading U.S. health insurance companies who provide great healthcare to the American peo… https://t.co/60jigi6ffS",2017-02-27 12:06:23,90225,15470,"Mon",0,0,0
"Big dinner with Governors tonight at White House. Much to be discussed, including healthcare.",2017-02-26 15:13:52,107257,15906,"Sun",0,0,0
"Russia talk is FAKE NEWS put out by the Dems, and played up by the media, in order to mask the big election defeat and the illegal leaks!",2017-02-26 13:16:41,114610,24875,"Sun",0,0,0
"For first time the failing @nytimes will take an ad (a bad one) to help save its failing reputation. Try reporting accurately &amp; fairly!",2017-02-26 06:42:39,110885,22066,"Sun",0,1,0
"The race for DNC Chairman was, of course, totally ""rigged."" Bernie's guy, like Bernie himself, never had a chance. Clinton demanded Perez!",2017-02-26 06:33:16,88366,19341,"Sun",0,0,0
